序号,车型,车数,天数,目的地,距离_km,行驶费,时间费,单次总费
1,7.6,1,2,山西综改示范区太原唐槐园区龙盛街,1225.0,2940.0,2364.2,5304.2
2,7.6,1,2,山西综改示范区太原唐槐园区龙盛街,1225.0,2940.0,2364.2,5304.2
3,7.6,1,2,山西综改示范区太原唐槐园区龙盛街,1225.0,2940.0,2364.2,5304.2
4,7.6,1,2,太原市双塔寺街1,1208.58,2900.59,2364.2,5264.79
5,7.6,1,2,太原市双塔寺街1,1208.58,2900.59,2364.2,5264.79
6,7.6,1,2,太原市双塔寺街1,1208.58,2900.59,2364.2,5264.79
7,7.6,1,2,太原市双塔寺街1,1208.58,2900.59,2364.2,5264.79
8,7.6,1,2,太原市五龙口南街东华苑桐荫A段,1209.56,2902.94,2364.2,5267.14
9,7.6,1,1,杭州市经济技术开发区白杨街道1大街32,239.66,575.18,1182.1,1757.28
10,7.6,1,1,杭州市经济技术开发区白杨街道1大街32,239.66,575.18,1182.1,1757.28
11,7.6,1,1,杭州市经济技术开发区白杨街道1大街32,239.66,575.18,1182.1,1757.28
12,9.6,1,2,沈阳市铁西区兴华南街5（1层部分、2层、3-4层部分）,1554.27,4662.81,2365.49,7028.3
13,9.6,1,2,沈阳市铁西区兴华南街5（1层部分、2层、3-4层部分）,1554.27,4662.81,2365.49,7028.3
14,9.6,1,2,吉林市船营区新生街7,1954.66,5863.98,2365.49,8229.47
15,9.6,1,3,长春市工农大路153,1851.82,5555.46,3548.24,9103.7
16,9.6,1,3,长春市工农大路153,1851.82,5555.46,3548.24,9103.7
17,7.6,3,2,天津市空港物流加工区东八道5,970.71,2329.7,2364.2,14081.71
18,7.6,1,2,天津市空港物流加工区东八道5,970.71,2329.7,2364.2,4693.9
19,7.6,1,2,天津市空港物流加工区东八道5,970.71,2329.7,2364.2,4693.9
20,7.6,1,2,天津市空港物流加工区东八道5,970.71,2329.7,2364.2,4693.9
21,7.6,1,1,天津滨海新区空港物流加工区环河南路8场院内6幢北楼二层、南楼一层,968.76,2325.02,1182.1,3507.12
22,7.6,1,1,天津滨海新区空港物流加工区环河南路8场院内6幢北楼二层、南楼一层,968.76,2325.02,1182.1,3507.12
23,7.6,1,1,天津滨海新区空港物流加工区环河南路8场院内6幢北楼二层、南楼一层,968.76,2325.02,1182.1,3507.12
24,7.6,1,1,天津市北辰区科技园区泾河道,986.7,2368.08,1182.1,3550.18
25,7.6,1,1,天津市北辰区科技园区泾河道,986.7,2368.08,1182.1,3550.18
26,7.6,1,1,天津市北辰区科技园区泾河道,986.7,2368.08,1182.1,3550.18
27,9.6,1,1,济南市槐荫区美里路108,741.7,2225.1,1182.75,3407.85
28,9.6,1,1,济南市槐荫区美里路108,741.7,2225.1,1182.75,3407.85
29,9.6,1,1,济南市槐荫区美里路108,741.7,2225.1,1182.75,3407.85
30,9.6,1,1,济南市槐荫区美里路108,741.7,2225.1,1182.75,3407.85
31,9.6,1,1,济南市槐荫区美里路108,741.7,2225.1,1182.75,3407.85
32,9.6,1,1,济南市市中区党家街道办事处罗而村东北150米处,739.35,2218.05,1182.75,3400.8
33,9.6,1,1,济南市市中区党家街道办事处罗而村东北150米处,739.35,2218.05,1182.75,3400.8
34,9.6,1,1,济南市市中区党家街道办事处罗而村东北150米处,739.35,2218.05,1182.75,3400.8
35,9.6,1,1,济南市市中区党家街道办事处罗而村东北150米处,739.35,2218.05,1182.75,3400.8
36,9.6,1,2,北京市西城区广外马连道东街1,1102.15,3306.45,2365.49,5671.94
37,9.6,1,2,北京市西城区广外马连道东街1,1102.15,3306.45,2365.49,5671.94
38,9.6,1,2,北京市西城区广外马连道东街1,1102.15,3306.45,2365.49,5671.94
39,7.6,1,1,金豫路82,173.52,416.45,1182.1,1598.55
40,7.6,1,2,武汉市江夏区经济开发区藏龙岛科技园凤凰大道1（物流中心）,704.34,1690.42,2364.2,4054.62
41,7.6,1,2,武汉市江夏区经济开发区藏龙岛科技园凤凰大道1（物流中心）,704.34,1690.42,2364.2,4054.62
42,7.6,1,1,北京市大兴区大兴经济开发区广平大街,1093.58,2624.59,1182.1,3806.69
43,7.6,2,1,正定县107国道东侧,768.24,1843.78,1182.1,6051.75
44,7.6,1,1,正定县107国道东侧,768.24,1843.78,1182.1,3025.88
45,7.6,1,1,正定县107国道东侧,768.24,1843.78,1182.1,3025.88
46,7.6,1,2,沈阳市苏家屯区雪莲街158-,1310.73,3145.75,2364.2,5509.95
47,7.6,1,2,沈阳市苏家屯区雪莲街158-,1310.73,3145.75,2364.2,5509.95
48,7.6,1,2,沈阳市苏家屯区雪莲街158-,1310.73,3145.75,2364.2,5509.95
49,7.6,1,2,沈阳市苏家屯区雪莲街158-,1310.73,3145.75,2364.2,5509.95
50,7.6,1,2,吉林市船营区新生街7,1954.66,4691.18,2364.2,7055.38
51,7.6,1,4,吉林市船营区新生街7,1954.66,4691.18,4728.4,9419.59
52,7.6,1,1,北京市顺义区机场北街1院6幢（航港物流园区B1仓库）,1112.14,2669.14,1182.1,3851.24
53,7.6,1,1,北京市顺义区机场北街1院6幢（航港物流园区B1仓库）,1112.14,2669.14,1182.1,3851.24
54,7.6,1,2,重庆市沙坪坝区土主镇远怀路重庆医药现代物流综合基地,1662.92,3991.01,2364.2,6355.21
55,7.6,1,2,重庆市沙坪坝区土主镇远怀路重庆医药现代物流综合基地,1662.92,3991.01,2364.2,6355.21
56,7.6,1,2,重庆市沙坪坝区土主镇远怀路重庆医药现代物流综合基地,1662.92,3991.01,2364.2,6355.21
57,7.6,1,2,重庆市沙坪坝区土主镇远怀路重庆医药现代物流综合基地,1662.92,3991.01,2364.2,6355.21
58,7.6,1,2,重庆市沙坪坝区土主镇远怀路重庆医药现代物流综合基地,1662.92,3991.01,2364.2,6355.21
59,7.6,1,2,重庆市沙坪坝区土主镇远怀路重庆医药现代物流综合基地,1662.92,3991.01,2364.2,6355.21
60,7.6,1,2,呼和浩特市和林县盛乐园区盛乐北六街,1546.0,3710.4,2364.2,6074.6
